Latitude,Longitude,Time,Id
32.758300000000006,-97.10202000000001,220,route 1,Along route
32.75797,-97.10205,221,route 1,Along route
32.757870000000004,-97.10207000000001,222,route 1,Along route
32.757540000000006,-97.10221000000001,223,route 1,Along route
32.757020000000004,-97.10246000000001,224,route 1,Along route
32.75696,-97.10243000000001,225,route 1,Along route
32.756800000000005,-97.10253,226,route 1,Along route
32.756710000000005,-97.10256000000001,227,route 1,Along route
32.75638,-97.10267,228,route 1,Along route
32.75618,-97.10270000000001,229,route 1,Along route
32.755900000000004,-97.10270000000001,230,route 1,Along route
32.75508,-97.10270000000001,231,route 1,Along route
32.754690000000004,-97.10276,232,route 1,Along route
32.754560000000005,-97.1028,233,route 1,Along route
32.754340000000006,-97.10291000000001,234,route 1,Along route
32.754090000000005,-97.10307,235,route 1,Along route
32.752950000000006,-97.10411,236,route 1,Along route
32.75218,-97.10479000000001,237,route 1,Along route
32.752,-97.10496,238,route 1,Along route
32.751900000000006,-97.10509,239,route 1,Along route
32.751670000000004,-97.10545,240,route 1,Along route
32.751360000000005,-97.10602,241,route 1,Along route
32.75115,-97.10629,242,route 1,Along route
32.75095,-97.10646000000001,243,route 1,Along route
32.75072,-97.10662,244,route 1,Along route
32.750400000000006,-97.10676000000001,245,route 1,Along route
32.75002,-97.10682000000001,246,route 1,Along route
32.74803,-97.10685000000001,247,route 1,Along route
32.746050000000004,-97.10686000000001,248,route 1,Along route
32.744780000000006,-97.10686000000001,249,route 1,Along route
32.742850000000004,-97.10687000000001,250,route 1,Along route
32.74166,-97.10685000000001,251,route 1,Along route
32.74034,-97.10684,252,route 1,Along route
32.739760000000004,-97.10687000000001,253,route 1,Along route
32.73776,-97.10700000000001,254,route 1,Along route
32.73697,-97.10705,255,route 1,Along route
32.735580000000006,-97.10711,256,route 1,Along route
32.735600000000005,-97.10807000000001,257,route 1,"arlington,TX"
